prompt,link,function score ,custum rating
How will AI impact the job market in the next 10 years?,https://www.nexford.edu/insights/how-will-ai-affect-jobs,4,2.9
What are the ethical challenges of AI-driven decision-making in healthcare?,https://www.news-medical.net/health/Ethical-Considerations-in-AI-Driven-Healthcare.aspx,5,3.3
Can artificial intelligence develop emotions similar to humans?,https://www.forbes.com/sites/neilsahota/2024/01/22/ai-and-emotion-imagining-a-world-where-machines-feel/,4,3.5
What are the latest discoveries in space exploration that could change our understanding of the universe?,https://www.pbs.org/newshour/show/a-look-at-2023s-discoveries-in-space-exploration,5,4.5
"""What role does neuroscience play in developing artificial consciousness?",https://www.linkedin.com/pulse/quantum-neuroscience-emerging-field-jeff-bell-xcn0e,4,3
Can genetic engineering help humans evolve beyond biological limitations?,https://www.pewresearch.org/religion/2016/07/26/human-enhancement-the-scientific-and-ethical-dimensions-of-striving-for-perfection/,5,4.5
"If human consciousness could be uploaded to a machine, would it still be ‘you’?",https://www.quora.com/If-consciousness-could-be-uploaded-into-a-machine-would-it-be-a-transfer-of-your-being-or-the-creation-of-a-copy,3,4
What are the psychological effects of living in a fully virtual world (metaverse)?,https://www.telefonica.com/en/communication-room/blog/main-risks-and-benefits-of-metaverse-on-mental-health/,3,3
How will automation impact wealth distribution and economic inequality?,https://www.nber.org/system/files/working_papers/w28440/w28440.pdf,5,5
How can companies integrate AI responsibly into their business operations?,https://www.forbes.com/councils/forbesbusinesscouncil/2024/04/16/20-essential-steps-for-ethically-leveraging-ai-in-your-business/,4,3.8
What are the key traits that make an entrepreneur successful in 2025?,https://www.oneeducation.org.uk/characteristics-of-successful-entrepreneurs/?srsltid=AfmBOop2AnKzC1UtGmRMx2aHItOAwa1Gu3f3k24cMma9kNT5IDkY23K1,2,1
What are the challenges and possibilities of colonizing Mars?,https://www.planetary.org/articles/challenges-facing-the-human-exploration-of-mars,5,3.2
How will climate change impact global migration patterns in the next 50 years?,https://www.zurich.com/media/magazine/2022/there-could-be-1-2-billion-climate-refugees-by-2050-here-s-what-you-need-to-know,4,1
What are the biggest ethical concerns surrounding AI surveillance?,https://www.niceactimize.com/blog/fmc-the-ethics-of-ai-in-monitoring-and-surveillance/,3,3
